Sneaker_Name,Release_Date,Retail_Price,SKU,Sneaker_Model,Sneaker_Colorway
Futurecraft 4D 'Core Black' 2021,2021-03-19,220.0,FZ2560,Futurecraft 4D,Core Black/Grey Three/Linen Green
Futurecraft 4D 'Black Carbon',2021-07-07,220.0,Q46228,Futurecraft 4D,Core Black/Carbon/Core Black
ZX 2K 4D 'Triple White',1960-01-01,0.0,FW2002,ZX 2K 4D,Cloud White/Cloud White/Cloud White
Ultra 4D 5.0 'Cookies And Cream',2020-12-12,200.0,G58158,Ultra 4D,Core Black/Cloud White/Carbon
4D Fusio 'Screaming Orange',2021-04-01,200.0,FY5929,4D Fusio,Screaming Orange/Core Black/Solar Red
Futurecraft 4D 'Crystal White',2021-09-07,220.0,Q46229,Futurecraft 4D,Crystal White/Chalk White/Core Black
Ultra 4D 'Dash Grey Halo Silver',1960-01-01,220.0,GY2448,Ultra 4D,Dash Grey/Halo Silver/Core Black
4D Fusio 'Black Silver Metallic',2021-12-23,200.0,H04512,4D Fusio,Core Black/Silver Metallic/Carbon
Stella McCartney x Wmns Alphaedge 4D 'Core White True Orange',2019-07-01,450.0,G25869,AlphaEdge 4D,Core White/True Orange/Core Black
Sneakersnstuff x Ultra 4D,2020-12-11,250.0,FY5631,Ultra 4D,
Parley x Ultra 4D Uncaged 'Black Blue Spirit',2020-05-18,200.0,FX2434,Ultra 4d,Core Black/Core Black/Blue Spirit
"ZX 4000 4D 'I Want, I Can'",2019-12-05,350.0,EF9625,ZX 4000,Core Black/Solar Red/Volt
Futurecraft 4D 'Linen Green Carbon',2022-09-03,220.0,GX6603,Futurecraft 4D,Linen Green/Zero Metalic/Carbon
Ultra 4D 'Triple Black',2020-09-30,220.0,FY4286,Ultra 4D,Core Black/Core Black/Carbon
Ultra 4D 5.0 'Carbon',2020-12-12,220.0,G58160,Ultra 4D,Core Black/Core Black/Carbon
Ultra 4D 'OG',2020-08-13,220.0,FW7089,Ultra 4D,Core Black/Core Black/Gold Metallic
END. x EVO 4D 'Dark Matter',2020-11-26,280.0,FX0549,4D Runner,Core Black/Core Black/Core Black
Parley x 4D Run 1.0 LTD 'White Iridescent',2020-05-08,200.0,FW1229,4D Runner,Cloud White/Cloud White/Cloud White
4D Run 1.0 LTD 'Dash Grey',2020-06-08,200.0,FW1230,4D Runner,Dash Grey/Signal Coral/Blue Spirit
Wmns FutureCraft 4D 'Ash Green',2018-01-18,300.0,B75941,Futurecraft 4D,Core Black/Grey Five/Ash Green
ZX 2K 4D 'Core Black',2020-06-19,250.0,FV9027,ZX 2K 4D,Core Black/Core Black/Core Black
Sneakersnstuff x Ultra 4D 'Tee Time',2021-05-05,250.0,FY7006,Ultra 4D,
Quest 4D GTX Advanced 'Kangaroo',1960-01-01,0.0,413098,Quest 4D,Kangaroo/Kangaroo/Chinchilla
Futurecraft 4D 'Black Carbon Turbo',2022-04-18,220.0,GZ8626,Futurecraft 4D,Core Black/Carbon/Turbo
NASA x Ultra 4D 'Halo Silver',2020-12-03,220.0,FX7753,Ultra 4D,Halo Silver/Silver Metallic/Solar Red
AlphaEdge 4D 'Reflective Core Black',2019-11-11,300.0,FV4686,AlphaEdge 4D,Core Black/Cloud White/Core Black
ZX 4000 4D 'Easy Mint',2019-08-22,350.0,EF9623,ZX 4000,Hi Res Yellow/Linen Green/Easy Mint
Ultra 4D 'Arizona State',2021-09-23,220.0,FY3960,Ultra 4D,Maroon/Core Black/Semi Solar Gold
Y-3 Runner 4D IOW 'Black',2021-04-07,500.0,FZ4502,4D Runner,Black/Black/Core White
Ultra 4D 'Chalk White',2020-12-14,220.0,FX4089,Ultra 4D,Chalk White/Chalk White/Cloud White
Pharrell Williams x 4D Runner 'Active Purple',2020-01-11,400.0,FV6335,4D Runner,Active Purple/White Tint
Futurecraft 4D 'Friends & Family',2018-09-21,0.0,F34444,Futurecraft 4D,Onyx/Aero Green/Onyx
ZX 4000 Futurecraft 4D 'Carbon',2019-04-06,350.0,BD7865,ZX 4000,Carbon/Carbon/Semi Solar Yellow
Star Wars x Alphaedge 4D 'Death Star',2019-11-21,300.0,FV4685,AlphaEdge 4D,Core Black/Cloud White/Clear Onix
Sneakersnstuff x ZX 4000 4D 'Sunrise',2019-11-09,300.0,FV5524,ZX 4000,Flaming Orange/Flaming Orange/Active Maroon
Ultra 4D 'Lemon Twist',2021-12-03,220.0,GX6366,Ultra 4D,Core White/Almost Lime/Silver Metallic
Ultra 4D 5.0 'Black Solar Red',2020-12-12,200.0,G58159,Ultra 4D,Core Black/Core Black/Solar Red
ZX 2K 4D 'Grey Solar Orange',2020-10-21,200.0,FY9089,ZX 2K 4D,Grey Four/Core Black/Solar Orange
Daniel Arsham x Futurecraft 4D 'Aero Green',2018-10-12,450.0,BD7400,Futurecraft 4D,Aero Green
Stella McCartney x Wmns AlphaEdge 4D 'Soft Powder',2020-08-20,300.0,FU8963,AlphaEdge 4D,Soft Powder/Signal Orange/Cloud White
Wmns Ultra 4D FWD 'White Linen Green',1960-01-01,220.0,GX6634,Ultra 4D,Cloud White/Linen Green/Almost Yellow
4D Run 1.0 'White Signature Pink',2020-07-30,200.0,FV6960,4D Runner,White/Silver/Signature Pink
Parley x AlphaEdge 4D 'Aero Green',2019-06-08,300.0,EE5199,AlphaEdge 4D,Aero Green/Linen Green/Aero Green
Stella McCartney x Wmns AlphaEdge 4D 'Core Black',2019-04-15,450.0,BB7959,AlphaEdge 4D,Core Black/Core Black/Core Black
AlphaEdge 4D 'Core Black',2019-05-30,300.0,EF3453,AlphaEdge 4D,Core Black/Core Black/Carbon
Runner 4D V2 'Mint',2019-12-21,350.0,EG6510,4D Runner,Navy/Green
ZX 4000 Futurecraft 4D 'Black Onix',2019-05-25,350.0,BD7931,ZX 4000,Core Black/Onix/Cloud White
Ultra 4D 'Black Almost Lime',2022-02-15,220.0,GZ4499,Ultra 4D,Core Black/Almost Lime/Silver Metallic
Spotlight 4D Foam 'White Metallic Silver',1960-01-01,0.0,3023963 100,Spotlight,
4D Runner 'Crystal White Pink',2020-11-28,200.0,FY7916,4D Runner,Crystal White/Cloud White/Super Pink
END. x Evo 4D 'Dune',2020-10-23,275.0,FW9953,4D Runner,
Parley x Ultra 4D 'Cream White',2021-01-15,250.0,FZ0596,Ultra 4D,Cream White/Cream White/Aluminium
Packer Shoes x Ultra 4D 2.0 Consortium 'Green',2021-07-16,250.0,G55266,Ultra 4D,Green/Off-White/Off-White
Ultra 4D 'Black Sonic Ink',2021-12-05,220.0,GZ1591,Ultra 4D,Core Black/Core Black/Sonic Ink
Sneakersnstuff x Futurecraft 4D 'Noble Ink',2018-06-20,449.0,B96533,Futurecraft,Maroon/Noble Ink/Aero Green
Alphaedge 4D 'Goodbye Gravity',2019-12-06,300.0,FV6106,AlphaEdge 4D,Core Black/Blue Violet Metallic
Marvel x Ultra 4D 'Black Panther',2022-10-07,220.0,HQ0949,Ultra 4D,Core Black/Gold Metallic/Tribe Purple
Pharrell Williams x 4D Runner 'Olive',2020-01-11,400.0,FV6334,4D Runner,White Tint/Core Green
A Ma Maniére x Ultra 4D 'Black',2021-09-04,250.0,G55274,Ultra 4D,
4D Fusio 'Bold Blue Light Flash Yellow',2021-06-15,200.0,H04509,4D Fusio,Bold Blue/Core Black/Light Flash Yellow
4D Fusio 'Grey Solar Yellow',2021-04-01,200.0,FY5928,4D Fusio,Grey One/Grey Six/Solar Yellow
4D Fusio 'Pulse Yellow',2021-08-11,200.0,H04513,4D Fusio,Core Black/Core Black/Core Black
Futurecraft 4D 'Onix',2018-11-21,400.0,D96972,Futurecraft 4D,Onix/Aero Green/Night Grey
Social Status x Ultra 4D 'Renaissance',2020-12-04,250.0,FY4366,Ultra 4D,
Ultra 4D 5.0 'Miami Nights',2021-02-26,200.0,G58162,Ultra 4D,Core Black/Core Black/Carbon
ZX 2K 4D 'Core Black',2020-07-31,0.0,FZ3561,ZX 2K 4D,Core Black/Core Black/Core Black
Futurecraft 4D FF 'White',2018-02-16,300.0,BD7701,Futurecraft 4D,Running White/Grey/Ash Green
4D Fusio 'Triple White',2021-07-30,200.0,GZ7885,4D Fusio,Cloud White/Cloud White/Cloud White
ZX Runner 4D 'Light Aqua',2020-10-10,200.0,FY0152,4D Runner,Light Aqua/Yellow Tint/Purple
Ultra 4D 'Miami Hurricanes,2021-09-23,220.0,Q46439,Ultra 4D,Collegiate Green/Footwear White/Collegiate Orange
Futurecraft 4D 'Core Black' 2018,2018-01-18,300.0,B75942,Futurecraft 4D,Core Black/Grey Five/Ash Green
4D Runner 1.0 'Core Black',2020-04-02,220.0,EG6247,4D Runner,Core Black/Cloud White/Gold Metallic
AlphaEdge 4D 'Footwear White',2018-11-17,300.0,CG5526,AlphaEdge 4D,Footwear White/Grey/Core Black
AlphaEdge 4D 'Reflective Cloud White',2019-11-11,300.0,FV4687,AlphaEdge 4D,Cloud White/Silver Metallic/Core Black
Packer Shoes x Consortium Ultra 4D 'Deep Blue',2020-11-20,250.0,FY4363,Ultra 4D,Blue/Collegiate Navy/Teal
Ultra 4D 'White Night Metallic',2022-09-30,220.0,GZ1336,Ultra 4D,Cloud White/Night Metallic/Beam Yellow
Ultra 4D 'Grey Pink Gradient',2021-02-26,200.0,G58161,Ultra 4D,Grey Five/Grey Five/Grey Three
Y-3 Runner 4D IO 'White Black',1960-01-01,0.0,FX1059,Y-3 Runner 4D,Chalk White/Core Black/Footwear White
Y-3 Runner 4D II 'Core Black',2018-09-07,555.0,CG6607,Runner 4D 2,Core Black/Core Black/Core Black
"ZX 4000 4D 'I Want, I Can'",2019-09-14,350.0,EF9624,ZX 4000,Grey One/Solar Red/Bright Cyan
Predator Accelerator 4D EQT 'White Sub Green',2021-08-11,220.0,GX0223,Predator Accelerator,Crystal White/Core Black/Sub Green
FutureCraft 4D Sample,1960-01-01,0.0,00NA00 S,Futurecraft 4D,Black/White
AlphaEdge 4D Run 'Black Multi',1960-01-01,0.0,FV5278,AlphaEdge 4D,Core Black/Gold Metallic/Multi-Color
Footpatrol x Futurecraft 4D 'Footpatrol',2018-09-21,525.0,BB9532,Futurecraft 4D,olicar/white/branch
Invincible x Futurecraft 4D 'Prism',2018-08-04,400.0,B96613,Futurecraft 4D,
Futurecraft 4D Runner Mid 'Crystal White',2019-06-29,500.0,EE4116,Futurecraft 4D,Crystal White/Crystal White/Crystal White
Ultra 4D 'Black Pulse Lilac',2022-09-30,220.0,GY5913,Ultra 4D,Core Black/Zero Metallic/Pulse Lilac
4D Fusio 'Grey',1960-01-01,200.0,H04507,4D Fusio,Grey Three/Grey Four/Core Black
Ultra 4D 'White Solar Red',2022-04-02,220.0,GX6364,Ultra 4D,Cloud White/Core Black/Solar Red
4D Fusio 'Black Solar Red',1960-01-01,0.0,GZ7884,4D Fusio,Core Black/Cloud White/Solar Red
AlphaEdge 4D 'Footwear White',2019-05-30,300.0,EF3454,AlphaEdge 4D,Footwear White/Footwear White/Carbon
4D Fusio 'Aluminium Grey',2021-02-04,200.0,S42836,4D Fusio,Aluminium/Grey Four/Core Black
Y-3 Runner 4D Halo 'Core White',2022-04-17,0.0,GW4451,Y-3 Runner 4D,Core White/Red/Bright Cyan
4D Fusio 'Grey Signal Green',2021-09-01,200.0,H04511,4D Fusio,Grey One/Core Black/Signal Green
Futurecraft 4D-5923 'Mint',1960-01-01,350.0,EE7996,Futurecraft 4D,
Y-3 Runner 4D Halo 'Black White',2022-01-15,0.0,GX1091,Y-3 Runner 4D,Black/Core White/Red
Y-3 Runner 4D IOW Mid 'Core White',1960-01-01,500.0,GZ9142,Y-3 Runner 4D,Core White/Off White/Black
Ultra 4D 'White Sonic Ink',2021-12-26,220.0,GZ1590,Ultra 4D,Cloud White/Cloud White/Sonic Ink
4D Runner 1.0 'Footwear White',2020-04-02,220.0,EG6264,4D Runner,Footwear White/Core Black/Gold Metallic
Nice Kicks x Ultra 4D 'Have A Nice Day',2021-03-12,225.0,FY5630,Ultra 4D,Core Black/Core Black/Footwear White
Parley x 4D Run 1.0 LTD 'Blue Spirit',2020-01-30,220.0,FV5323,4D Runner,Cloud White/Cloud White/Blue Spirit
Y-3 Runner 4D 'Black',2020-03-19,500.0,FU9207,4D Runner,Core Black/Footweare White/Core Black
FutureCraft M.F.G 'FutureCraft',2016-10-06,0.0,BY8833,Futurecraft 4D,Grey/Black/White
Quest 4D GTX Advanced 'Black',1960-01-01,0.0,413097,Quest 4D,Black/Black/Magnet
Stella McCartney x Wmns AlphaEdge 4D 'Night Steel Black',1960-01-01,300.0,FV6516,AlphaEdge 4D,Night Steel/Core Black/Platinum Mauve
I-4D Primeknit 'Black Purple',2020-01-14,350.0,EF6636,I-4D,Core Black/Purple/Semi Coral
Stella McCartney x Wmns AlphaEdge 4D 'Core Black',2020-01-18,300.0,EH3488,AlphaEdge 4D,Core Black/Core Black/Core Black
Kith x Futurecraft 4D 'Aspen',2018-11-02,500.0,BB9533,Futurecraft 4D,Aero Green/White/Maroon
Sneakersnstuff x ZX 4000 4D 'Sunset',2019-11-09,300.0,FV5525,ZX 4000,Pink/Purple/Black
Futurecraft 4D-5923 'Black',2019-01-01,350.0,EE3657,Futurecraft 4D,Black
Y-3 Futurecraft Runner 4D 'Red',2019-01-31,600.0,F99805,Futurecraft 4D,Red/Footwear White/Aero Green
Futurecraft 4D-5923 'Red' Sample,1960-01-01,0.0,G26783 S,Futurecraft 4D,Red/Footwear White/Red
Futurecraft 4D-5923 'Red',2018-10-06,350.0,G26783,Futurecraft 4D,Red/Footwear White/Red
4D Fusio 'Sunset',2021-02-04,200.0,FZ3894,4D Fusio,Chalk White/Core Black/Light Purple
Spotlight 4D Foam 'Black',1960-01-01,0.0,3023963 001,Spotlight,
ZX 2K 4D 'Faint Green',2020-07-13,200.0,FW2003,ZX 2K,Cloud White/Core Black/Signal Pink
4D Fusio 'Triple Black',2021-08-29,200.0,H04510,4D Fusio,Core Black/Core Black/Core Black
4D Fusio 'Black Orange Pink',2021-04-01,200.0,FZ2414,4D Fusio,Core Black/Grey Six/Core Black
4D Fusio 'Semi Frozen Yellow',2021-02-04,200.0,FY3603,4D Fusio,Semi Frozen Yellow/Hazy Emerald/Dove Grey
4D Fusio 'Black Ultra Purple',2021-04-01,200.0,FY3609,4D Fusio,Cloud White/Ultra Purple/Core Black
Spotlight 4D Foam 'White Red',1960-01-01,0.0,3023963 101,Spotlight,
Y-3 Runner 4D IOW High 'Black',2021-07-22,500.0,GZ9141,Y-3 Runner 4D,Black/Black/Core White
4D Fusio 'Cloud White Pink',2021-06-15,200.0,H04508,4D Fusio,Cloud White/Core Black/Cream White
ZX 2K 4D 'Gradient',2020-06-05,200.0,FV9028,ZX 2K,Solar Yellow/Hi-Res Red/Core Black
ZX 2K 4D 'Triple Black' Sample,1960-01-01,0.0,FW0719,ZX 2K,Core Black/Core Black/Core Black
4D Fusio 'Black Pink',2021-01-20,200.0,FX6131,4D Fusio,Core Black/Grey Six/Dove Grey
ZX 2K 4D 'Dash Green',1960-01-01,250.0,FV8500,ZX 2K,Dash Green/Green Tint/Raw Green
Y-3 Runner 4D IOW 'Bliss',1960-01-01,0.0,FZ4501,Y-3 Runner 4D,Bliss/Black/Red
Y-3 Runner 4D 'Black Sesame',2020-10-31,450.0,FX1058,Y-3 Runner 4D,Core Black/Chalk White/Sesame
Y-3 Runner 4D 'Core Black',2019-12-10,600.0,EF2620,Y-3 Runner 4D,
4D Run 1.0 'Signal Coral',2020-03-01,300.0,FW1233,4D Runner,Footwear White/Core Black/Signal Coral
Wmns AlphaEdge 4D 'Footwear White',2018-11-17,350.0,AQ0742,Alphaedge 4D,Footwear White/Grey/Core Black
4D Run 1.0 'Glory Blue',2020-04-23,200.0,FW1231,4D Runner,Glory Blue/Cloud White/Solar Red
4D Runner 'Signal Coral',1960-01-01,400.0,FW6838,4D Runner,Footwear White/Footwear White/Signal Coral
4D Runner 'Black Signal Coral',1960-01-01,400.0,FW6839,4D Runner,Black/Footwear White/Signal Coral
Y-3 Runner 4D 'Solar Orange',2020-03-19,500.0,FU9208,4D Runner,Core Black/Solar Orange/Silver Metallic
4D Run 1.0 'White Signal Coral',1960-01-01,0.0,FW1234,4D Runner,Cloud White/Cloud White/Signal Coral
Consortium Evo 4D 'Paris Fashion Week',1960-01-01,0.0,FX3436,4D Runner,Supplier Color/Core Black/Light Grey
4D Run 1.0 'Signal Pink',1960-01-01,200.0,FV6956,4D Runner,Signal Pink/Core Black/Light Flash Orange
AlphaEdge 4D LTD 'Ash Green',2018-02-17,300.0,AC8485,AlphaEdge 4D,Core Black/Grey Aero/Ash Green
Y-3 Runner 4D 'Black White',2018-02-23,535.0,AQ0357,Runner 4D,Core Black/Core White
ZX 4000 Futurecraft 4D 'Grey Yellow',2019-06-21,350.0,BD7927,ZX 4000,Grey Three/Core Black/Hi Res Yellow
Hurley x Air Max 90 + 'Phantom 4D',1960-01-01,0.0,502482 001,Air Max 90,Black/Black
AlphaEdge 4D 'Off White',2019-05-31,300.0,EF3455,AlphaEdge 4D,Cloud White/Off White/Pearl Grey
ZX 4000 Futurecraft 4D Sample,1960-01-01,,B42203 S,ZX 4000,Red One/Core Black/Bright Cyan
Hender Scheme x ZX 4000 Futurecraft 4D 'Black',2019-06-22,0.0,F36147,ZX 4000,
Hender Scheme x ZX 4000 Futurecraft 4D 'White',2019-06-22,0.0,F36048,ZX 4000,FTWWHT/GRETWO/CBLACK
ZX 4000 Futurecraft 4D 'Grey',2019-02-09,350.0,B42203,ZX 4000,Red One/Core Black/Bright Cyan
4D-5923 'Cloud White',1960-01-01,350.0,G28389,4D-5923,Running White/Cloud White/Grey
Y-3 Runner 4D II 'Core White',2019-05-01,600.0,EF0902,Y-3 Runner 4D,Core White/Core Black/Core White
Stella McCartney x Wmns Alphaedge 4D 'Core White True Orange' Sample,1960-01-01,0.0,G25869 S,AlphaEdge 4D,Core White/True Orange/Core Black
4D Cush 'Black Solar Green' Sample,1960-01-01,0.0,GY8484 S,4D Cush,Core Black/Carbon/Solar Green
Futurecraft 4D 'Ash Green' Sample,1960-01-01,0.0,B75942 S,Futurecraft 4D,Core Black/Grey Five/Ash Green
Stella McCartney x Wmns AlphaEdge 4D 'Night Steel Black' Sample,1960-01-01,0.0,FV6516 S,AlphaEdge 4D,Night Steel/Core Black/Platinum Mauve
Futurecraft 4D Sample,1960-01-01,0.0,GZ8626 S,Futurecraft 4D,
A Ma Maniére x Ultra 4D 'Black' Sample,1960-01-01,0.0,G55274 S,Ultra 4D,
Ultra 4D Sample,1960-01-01,0.0,FW7089 S,Ultra 4D,
Parley x Ultra 4D 'Cream White' Sample,2021-01-16,0.0,FZ0596 S,Ultra 4D,Cream White/Cream White/Aluminium
AlphaEdge 4D,1960-01-01,300.0,BB7717,AlphaEdge 4D,Grey Two/White/Linen Green
ZX 2K 4D 'Triple White' Sample,1960-01-01,0.0,FW2002 S,ZX 2K 4D,Cloud White/Cloud White/Cloud White
ZX 2K 4D 'Faint Green' Sample,1960-01-01,0.0,FW2003 S,ZX 2K 4D,Cloud White/Core Black/Signal Pink
Stella McCartney x Wmns AlphaEdge 4D 'Soft Powder' Sample,1960-01-01,0.0,FU8963 S,AlphaEdge 4D,Soft Powder/Signal Orange/Cloud White
Stella McCartney x Wmns AlphaEdge 4D 'Core Black' Sample,1960-01-01,0.0,EH3488 S,AlphaEdge 4D,Core Black/Core Black/Core Black
Wmns 880 4D Wide 'Grey Pink',1960-01-01,0.0,WW880GP4D,880,Grey/Pink
ZX 4D Morph 'The Brand With The 3 Stripes' Sample,1960-01-01,0.0,FV1709 S,ZX 4D Morph,
Stella McCartney x Wmns AlphaEdge 4D Sample,1960-01-01,0.0,FX1949 S,AlphaEdge 4D,
ZX 4D Morph 'White' Sample,1960-01-01,0.0,FX0110 S,ZX 4D Morph,
ZX 4D Morph 'Black Green' Sample,1960-01-01,0.0,FV1721 S,ZX 4D Morph,
ZX 4D Morph 'Black' Sample,1960-01-01,0.0,FV1710 S,ZX 4D Morph,
4D Wave Runner 'White Lime' Sample,1960-01-01,0.0,GZ8625 S,4D Runner,
4D Runner Sample,1960-01-01,0.0,FY7916 S,4D Runner,
4D Run 1.0 'White Signature Pink' Sample,1960-01-01,0.0,FV6960 S,4D Runner,Cloud White/Silver Metallic/Signal Pink
4D Run 1.0 'Signal Pink' Sample,1960-01-01,0.0,FV6956 S,4D Runner,Signal Pink/Core Black/Light Flash Orange
AlphaEdge 4D,1960-01-01,300.0,AQ0739,AlphaEdge 4D,Black/White/Linen Green
